# time,counter,data
2026-09-14 13:45:53.523992,102,1087.0,1342220.0
2026-09-14 13:45:53.536058,103,1099.0,1341854.0
2026-09-14 13:45:53.547017,104,1110.0,1344371.0
2026-09-14 13:45:53.559081,105,1122.0,1344278.0
2026-09-14 13:45:53.570066,106,1133.0,1342565.0
2026-09-14 13:45:53.581039,107,1145.0,1342275.0
2026-09-14 13:45:53.592985,108,1156.0,1342404.0
2026-09-14 13:45:53.603966,109,1167.0,1341517.0
2026-09-14 13:45:53.615972,110,1179.0,1341791.0
2026-09-14 13:45:53.626965,111,1190.0,1342320.0
2026-09-14 13:45:53.638065,112,1202.0,1342861.0
2026-09-14 13:45:53.650057,113,1213.0,1342200.0
2026-09-14 13:45:53.661019,114,1225.0,1343728.0
2026-09-14 13:45:53.672985,115,1236.0,1342348.0
2026-09-14 13:45:53.683998,116,1247.0,1340778.0
2026-09-14 13:45:53.696074,117,1259.0,1341106.0
2026-09-14 13:45:53.707138,118,1270.0,1339345.0
2026-09-14 13:45:53.718065,119,1282.0,1340736.0
2026-09-14 13:45:53.730032,120,1293.0,1340200.0
2026-09-14 13:45:53.740976,121,1304.0,1341654.0
2026-09-14 13:45:53.753040,122,1316.0,1342505.0
2026-09-14 13:45:53.764038,123,1327.0,1343940.0
2026-09-14 13:45:53.776023,124,1339.0,1343288.0
2026-09-14 13:45:53.787053,125,1350.0,1341453.0
2026-09-14 13:45:53.798084,126,1362.0,1342562.0
2026-09-14 13:45:53.809961,127,1373.0,1343625.0
2026-09-14 13:45:53.820992,128,1384.0,1342077.0
2026-09-14 13:45:53.833049,129,1396.0,1340420.0
2026-09-14 13:45:53.844076,130,1407.0,1341876.0
2026-09-14 13:45:53.855072,131,1419.0,1342050.0
2026-09-14 13:45:53.867043,132,1430.0,1341297.0
2026-09-14 13:45:53.878015,133,1442.0,1339480.0
2026-09-14 13:45:53.889982,134,1453.0,1338760.0
2026-09-14 13:45:53.900975,135,1464.0,1341378.0
2026-09-14 13:45:53.913005,136,1476.0,1342862.0
2026-09-14 13:45:53.924093,137,1487.0,1341975.0
2026-09-14 13:45:53.935014,138,1499.0,1342016.0
2026-09-14 13:45:53.947050,139,1510.0,1344223.0
2026-09-14 13:45:53.958022,140,1521.0,1343885.0
2026-09-14 13:45:53.970033,141,1533.0,1342159.0
2026-09-14 13:45:53.981039,142,1544.0,1344319.0
2026-09-14 13:45:53.992987,143,1556.0,1343970.0
2026-09-14 13:45:54.004018,144,1567.0,1344297.0
2026-09-14 13:45:54.015069,145,1579.0,1342377.0
2026-09-14 13:45:54.026972,146,1590.0,1340821.0
2026-09-14 13:45:54.038047,147,1601.0,1340554.0
2026-09-14 13:45:54.050047,148,1613.0,1342038.0
2026-09-14 13:45:54.061060,149,1624.0,1343734.0
2026-09-14 13:45:54.072048,150,1636.0,1344442.0
2026-09-14 13:45:54.084035,151,1647.0,1344797.0
2026-09-14 13:45:54.095024,152,1658.0,1343836.0
2026-09-14 13:45:54.107010,153,1670.0,1340916.0
2026-09-14 13:45:54.117993,154,1681.0,1340406.0
2026-09-14 13:45:54.130048,155,1693.0,1341493.0
2026-09-14 13:45:54.141014,156,1704.0,1342081.0
2026-09-14 13:45:54.152090,157,1716.0,1343539.0
2026-09-14 13:45:54.164033,158,1727.0,1342790.0
2026-09-14 13:45:54.175014,159,1738.0,1343165.0
2026-09-14 13:45:54.187079,160,1750.0,1343479.0
2026-09-14 13:45:54.198166,161,1761.0,1342761.0
2026-09-14 13:45:54.209104,162,1773.0,1342809.0
2026-09-14 13:45:54.221085,163,1784.0,1340092.0
2026-09-14 13:45:54.232087,164,1796.0,1340260.0
2026-09-14 13:45:54.244085,165,1807.0,1339673.0
2026-09-14 13:45:54.255063,166,1818.0,1340109.0
2026-09-14 13:45:54.267101,167,1830.0,1340889.0
2026-09-14 13:45:54.278052,168,1841.0,1339123.0
2026-09-14 13:45:54.289052,169,1853.0,1340444.0
2026-09-14 13:45:54.300995,170,1864.0,1340836.0
2026-09-14 13:45:54.312052,171,1875.0,1341521.0
2026-09-14 13:45:54.324077,172,1887.0,1340495.0
2026-09-14 13:45:54.334980,173,1898.0,1339012.0
2026-09-14 13:45:54.347015,174,1910.0,1339493.0
2026-09-14 13:45:54.358017,175,1921.0,1340441.0
2026-09-14 13:45:54.369054,176,1933.0,1340040.0
2026-09-14 13:45:54.381110,177,1944.0,1339223.0
2026-09-14 13:45:54.392008,178,1955.0,1339741.0
2026-09-14 13:45:54.404024,179,1967.0,1339949.0
2026-09-14 13:45:54.415038,180,1978.0,1341788.0
2026-09-14 13:45:54.426110,181,1990.0,1343265.0
2026-09-14 13:45:54.438057,182,2001.0,1343020.0
2026-09-14 13:45:54.449063,183,2013.0,1343684.0
2026-09-14 13:45:54.461010,184,2024.0,1343324.0
2026-09-14 13:45:54.472098,185,2035.0,1342286.0
2026-09-14 13:45:54.484024,186,2047.0,1342157.0
2026-09-14 13:45:54.495019,187,2058.0,1342237.0
2026-09-14 13:45:54.506076,188,2070.0,1340198.0
2026-09-14 13:45:54.518073,189,2081.0,1342943.0
2026-09-14 13:45:54.528980,190,2092.0,1344065.0
2026-09-14 13:45:54.540986,191,2104.0,1343264.0
2026-09-14 13:45:54.552034,192,2115.0,1343168.0
2026-09-14 13:45:54.563981,193,2127.0,1343324.0
2026-09-14 13:45:54.575001,194,2138.0,1341906.0
2026-09-14 13:45:54.586100,195,2150.0,1342533.0
2026-09-14 13:45:54.597977,196,2161.0,1343303.0
2026-09-14 13:45:54.609046,197,2172.0,1340069.0
2026-09-14 13:45:54.621008,198,2184.0,1341737.0
2026-09-14 13:45:54.632046,199,2195.0,1343798.0
2026-09-14 13:45:54.643030,200,2207.0,1341884.0
2026-09-14 13:45:54.655017,201,2218.0,1342072.0
2026-09-14 13:45:54.666079,202,2230.0,1342162.0
2026-09-14 13:45:54.678005,203,2241.0,1341874.0
2026-09-14 13:45:54.688994,204,2252.0,1342540.0
2026-09-14 13:45:54.700976,205,2264.0,1341889.0
2026-09-14 13:45:54.712081,206,2275.0,1341943.0
2026-09-14 13:45:54.723126,207,2287.0,1343127.0
2026-09-14 13:45:54.735060,208,2298.0,1343051.0
2026-09-14 13:45:54.746062,209,2309.0,1342499.0
2026-09-14 13:45:54.758057,210,2321.0,1342900.0
2026-09-14 13:45:54.769042,211,2332.0,1343186.0
2026-09-14 13:45:54.780053,212,2344.0,1342450.0
2026-09-14 13:45:54.792006,213,2355.0,1343315.0
2026-09-14 13:45:54.803054,214,2367.0,1342704.0
2026-09-14 13:45:54.814959,215,2378.0,1346076.0
2026-09-14 13:45:54.826103,216,2389.0,1345997.0
2026-09-14 13:45:54.838013,217,2401.0,1343435.0
2026-09-14 13:45:54.849073,218,2412.0,1342803.0
2026-09-14 13:45:54.860028,219,2424.0,1341346.0
2026-09-14 13:45:54.872027,220,2435.0,1342742.0
2026-09-14 13:45:54.883102,221,2446.0,1346043.0
2026-09-14 13:45:54.894971,222,2458.0,1343079.0
2026-09-14 13:45:54.906064,223,2469.0,1341345.0
2026-09-14 13:45:54.918030,224,2481.0,1342554.0
2026-09-14 13:45:54.929065,225,2492.0,1343022.0
2026-09-14 13:45:54.940061,226,2504.0,1342699.0
2026-09-14 13:45:54.951969,227,2515.0,1342436.0
2026-09-14 13:45:54.963018,228,2526.0,1339841.0
2026-09-14 13:45:54.975041,229,2538.0,1342001.0
2026-09-14 13:45:54.986050,230,2549.0,1342508.0
2026-09-14 13:45:54.997115,231,2561.0,1343073.0
2026-09-14 13:45:55.009027,232,2572.0,1341512.0
2026-09-14 13:45:55.020073,233,2584.0,1341366.0
2026-09-14 13:45:55.031999,234,2595.0,1344313.0
2026-09-14 13:45:55.043071,235,2606.0,1343987.0
2026-09-14 13:45:55.055009,236,2618.0,1342628.0
2026-09-14 13:45:55.066051,237,2629.0,1344966.0
2026-09-14 13:45:55.077122,238,2641.0,1343611.0
2026-09-14 13:45:55.089051,239,2652.0,1342745.0
2026-09-14 13:45:55.100101,240,2663.0,1343365.0
2026-09-14 13:45:55.112025,241,2675.0,1341456.0
2026-09-14 13:45:55.123064,242,2686.0,1342208.0
2026-09-14 13:45:55.135045,243,2698.0,1341899.0
2026-09-14 13:45:55.146053,244,2709.0,1342992.0
2026-09-14 13:45:55.157111,245,2721.0,1342549.0
2026-09-14 13:45:55.169065,246,2732.0,1341832.0
2026-09-14 13:45:55.179982,247,2743.0,1342991.0
2026-09-14 13:45:55.192007,248,2755.0,1341381.0
2026-09-14 13:45:55.203062,249,2766.0,1341443.0
2026-09-14 13:45:55.214068,250,2778.0,1341259.0
2026-09-14 13:45:55.225972,251,2789.0,1341665.0
2026-09-14 13:45:55.237032,252,2801.0,1342025.0
2026-09-14 13:45:55.249035,253,2812.0,1341282.0
2026-09-14 13:45:55.260063,254,2823.0,1340904.0
2026-09-14 13:45:55.272053,255,2835.0,1341470.0
2026-09-14 13:45:55.283048,256,2846.0,1342015.0
2026-09-14 13:45:55.294074,257,2858.0,1342346.0
2026-09-14 13:45:55.306013,258,2869.0,1343755.0
2026-09-14 13:45:55.317067,259,2880.0,1342073.0
2026-09-14 13:45:55.329069,260,2892.0,1342077.0
2026-09-14 13:45:55.340180,261,2903.0,1342357.0
2026-09-14 13:45:55.352000,262,2915.0,1342346.0
2026-09-14 13:45:55.363054,263,2926.0,1342256.0
2026-09-14 13:45:55.374068,264,2938.0,1343440.0
2026-09-14 13:45:55.386029,265,2949.0,1342054.0
2026-09-14 13:45:55.397087,266,2960.0,1343250.0
2026-09-14 13:45:55.409017,267,2972.0,1342563.0
2026-09-14 13:45:55.420019,268,2983.0,1342072.0
2026-09-14 13:45:55.431050,269,2995.0,1342231.0
2026-09-14 13:45:55.443027,270,3006.0,1342238.0
2026-09-14 13:45:55.454059,271,3018.0,1340989.0
2026-09-14 13:45:55.466049,272,3029.0,1343208.0
2026-09-14 13:45:55.476991,273,3040.0,1343786.0
2026-09-14 13:45:55.489008,274,3052.0,1342579.0
2026-09-14 13:45:55.500074,275,3063.0,1343323.0
2026-09-14 13:45:55.511116,276,3075.0,1343954.0
2026-09-14 13:45:55.522981,277,3086.0,1343518.0
2026-09-14 13:45:55.534080,278,3097.0,1342344.0
2026-09-14 13:45:55.546086,279,3109.0,1340597.0
2026-09-14 13:45:55.556985,280,3120.0,1341461.0
2026-09-14 13:45:55.569009,281,3132.0,1341070.0
2026-09-14 13:45:55.580024,282,3143.0,1341041.0
2026-09-14 13:45:55.591044,283,3155.0,1340449.0
2026-09-14 13:45:55.603020,284,3166.0,1341577.0
2026-09-14 13:45:55.614087,285,3177.0,1343527.0
2026-09-14 13:45:55.626029,286,3189.0,1343041.0
2026-09-14 13:45:55.637035,287,3200.0,1341171.0
2026-09-14 13:45:55.648117,288,3212.0,1340562.0
2026-09-14 13:45:55.659985,289,3223.0,1342652.0
2026-09-14 13:45:55.671085,290,3235.0,1340809.0
2026-09-14 13:45:55.683054,291,3246.0,1341470.0
2026-09-14 13:45:55.694028,292,3257.0,1341901.0
2026-09-14 13:45:55.706004,293,3269.0,1341005.0
2026-09-14 13:45:55.717017,294,3280.0,1341855.0
2026-09-14 13:45:55.728096,295,3292.0,1342701.0
2026-09-14 13:45:55.740043,296,3303.0,1343059.0
2026-09-14 13:45:55.751028,297,3314.0,1342539.0
2026-09-14 13:45:55.763045,298,3326.0,1342621.0
2026-09-14 13:45:55.774005,299,3337.0,1340868.0
2026-09-14 13:45:55.785049,300,3349.0,1339582.0
2026-09-14 13:45:55.797096,301,3360.0,1341225.0
2026-09-14 13:45:55.808101,302,3372.0,1342871.0
2026-09-14 13:45:55.820095,303,3383.0,1343514.0
2026-09-14 13:45:55.831072,304,3394.0,1342729.0
2026-09-14 13:45:55.842994,305,3406.0,1342743.0
2026-09-14 13:45:55.854035,306,3417.0,1343230.0
2026-09-14 13:45:55.865097,307,3429.0,1341409.0
2026-09-14 13:45:55.877063,308,3440.0,1343121.0
2026-09-14 13:45:55.887970,309,3452.0,1344087.0
2026-09-14 13:45:55.900067,310,3463.0,1342507.0
2026-09-14 13:45:55.911070,311,3474.0,1341612.0
2026-09-14 13:45:55.923017,312,3486.0,1344622.0
2026-09-14 13:45:55.934060,313,3497.0,1343398.0
2026-09-14 13:45:55.945024,314,3509.0,1340875.0
2026-09-14 13:45:55.957041,315,3520.0,1340485.0
2026-09-14 13:45:55.968101,316,3531.0,1338783.0
2026-09-14 13:45:55.980076,317,3543.0,1341196.0
2026-09-14 13:45:55.991075,318,3554.0,1342604.0
2026-09-14 13:45:56.002065,319,3566.0,1341832.0
2026-09-14 13:45:56.014020,320,3577.0,1342694.0
2026-09-14 13:45:56.025078,321,3589.0,1343901.0
2026-09-14 13:45:56.036989,322,3600.0,1341917.0
2026-09-14 13:45:56.047976,323,3611.0,1339885.0
2026-09-14 13:45:56.060016,324,3623.0,1341841.0
2026-09-14 13:45:56.071003,325,3634.0,1342264.0
2026-09-14 13:45:56.082037,326,3646.0,1342458.0
2026-09-14 13:45:56.094024,327,3657.0,1343156.0
2026-09-14 13:45:56.105049,328,3668.0,1344628.0
2026-09-14 13:45:56.117054,329,3680.0,1343024.0
2026-09-14 13:45:56.128060,330,3691.0,1342555.0
2026-09-14 13:45:56.139113,331,3703.0,1341811.0
2026-09-14 13:45:56.151026,332,3714.0,1340314.0
2026-09-14 13:45:56.161979,333,3726.0,1340972.0
2026-09-14 13:45:56.174033,334,3737.0,1343754.0
2026-09-14 13:45:56.185045,335,3748.0,1344622.0
2026-09-14 13:45:56.197020,336,3760.0,1343186.0
2026-09-14 13:45:56.208042,337,3771.0,1345086.0
2026-09-14 13:45:56.219087,338,3783.0,1345193.0
2026-09-14 13:45:56.231060,339,3794.0,1344233.0
2026-09-14 13:45:56.242012,340,3806.0,1342629.0
2026-09-14 13:45:56.254055,341,3817.0,1341160.0
2026-09-14 13:45:56.265053,342,3828.0,1341151.0
2026-09-14 13:45:56.276965,343,3840.0,1341807.0
2026-09-14 13:45:56.288059,344,3851.0,1342488.0
2026-09-14 13:45:56.299098,345,3863.0,1342837.0
2026-09-14 13:45:56.311019,346,3874.0,1344309.0
2026-09-14 13:45:56.322081,347,3885.0,1342307.0
2026-09-14 13:45:56.333990,348,3897.0,1343061.0
2026-09-14 13:45:56.344994,349,3908.0,1345196.0
2026-09-14 13:45:56.355978,350,3920.0,1343457.0
2026-09-14 13:45:56.367981,351,3931.0,1344401.0
2026-09-14 13:45:56.379096,352,3943.0,1344116.0
2026-09-14 13:45:56.391002,353,3954.0,1341259.0
2026-09-14 13:45:56.402095,354,3965.0,1341704.0
2026-09-14 13:45:56.414051,355,3977.0,1341226.0
2026-09-14 13:45:56.425014,356,3988.0,1342334.0
2026-09-14 13:45:56.436011,357,4000.0,1343045.0
2026-09-14 13:45:56.448026,358,4011.0,1343303.0
2026-09-14 13:45:56.459030,359,4023.0,1342718.0
2026-09-14 13:45:56.471038,360,4034.0,1341513.0
2026-09-14 13:45:56.482063,361,4045.0,1342013.0
2026-09-14 13:45:56.494061,362,4057.0,1342739.0
2026-09-14 13:45:56.505040,363,4068.0,1343913.0
2026-09-14 13:45:56.516097,364,4080.0,1345317.0
2026-09-14 13:45:56.527979,365,4091.0,1345997.0
2026-09-14 13:45:56.539081,366,4102.0,1345232.0
2026-09-14 13:45:56.551019,367,4114.0,1343156.0
2026-09-14 13:45:56.562056,368,4125.0,1340920.0
2026-09-14 13:45:56.573001,369,4137.0,1340588.0
2026-09-14 13:45:56.585044,370,4148.0,1340325.0
2026-09-14 13:45:56.596104,371,4160.0,1341285.0
2026-09-14 13:45:56.608087,372,4171.0,1340929.0
2026-09-14 13:45:56.619078,373,4182.0,1342474.0
2026-09-14 13:45:56.631062,374,4194.0,1344742.0
2026-09-14 13:45:56.642048,375,4205.0,1342923.0
2026-09-14 13:45:56.653009,376,4217.0,1341793.0
2026-09-14 13:45:56.665069,377,4228.0,1341833.0
2026-09-14 13:45:56.676041,378,4239.0,1342147.0
2026-09-14 13:45:56.688073,379,4251.0,1343131.0
2026-09-14 13:45:56.698987,380,4262.0,1342076.0
2026-09-14 13:45:56.710035,381,4274.0,1341247.0
2026-09-14 13:45:56.722071,382,4285.0,1345151.0
2026-09-14 13:45:56.733113,383,4297.0,1342478.0
