"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.173767916E-1	-1.922452240E0	2.764750671E-1	9.661957855E0	9.855236713E0
7.273407916E-1	-1.788630524E0	1.468446350E-1	9.528435516E0	9.695970601E0
7.373047916E-1	-1.962718506E0	2.659968567E-1	9.663454742E0	9.864348728E0
7.472677917E-1	-1.818717957E0	1.736389160E-1	9.539662170E0	9.713034531E0
7.572317916E-1	-1.807341614E0	2.067201233E-1	9.656119995E0	9.825979355E0
7.671947916E-1	-1.900747375E0	1.896556091E-1	9.569150848E0	9.757943318E0
7.771587917E-1	-1.769470367E0	2.100132751E-1	9.595196686E0	9.759248454E0
7.871217916E-1	-1.952389984E0	2.100132751E-1	9.575737152E0	9.775002518E0
7.970857916E-1	-1.769620056E0	1.948947144E-1	9.576186218E0	9.740271125E0
8.070497917E-1	-1.978435822E0	2.486329651E-1	9.692045288E0	9.895037570E0
8.170127916E-1	-1.727557526E0	1.381626892E-1	9.480086060E0	9.637197499E0
8.269767916E-1	-2.006128235E0	2.935395813E-1	9.705966339E0	9.915467642E0
8.369397916E-1	-1.638492737E0	1.109193420E-1	9.492210846E0	9.633225228E0
8.469037917E-1	-1.991758118E0	2.704875183E-1	9.661957855E0	9.868824322E0
8.568667916E-1	-1.762734375E0	1.535806274E-1	9.542655945E0	9.705313079E0
8.668307916E-1	-1.975591736E0	2.454895020E-1	9.722432098E0	9.924158086E0
8.767947917E-1	-1.755399628E0	1.877096558E-1	9.480834503E0	9.643800374E0
8.867577916E-1	-1.875899048E0	2.519261169E-1	9.677375793E0	9.860733556E0
8.967217916E-1	-1.863325195E0	1.788780212E-1	9.528435516E0	9.710564428E0
9.066847917E-1	-1.874701538E0	2.348616028E-1	9.590256958E0	9.774594332E0
9.166487916E-1	-1.879641266E0	1.751358032E-1	9.594148865E0	9.778109034E0
9.266127916E-1	-1.772314453E0	1.923500061E-1	9.528734894E0	9.694064458E0
9.365757916E-1	-1.852846985E0	2.177970886E-1	9.708211670E0	9.885840953E0
9.465397917E-1	-1.789229279E0	1.597178650E-1	9.528585205E0	9.696431674E0
9.565027916E-1	-1.928888855E0	2.809657288E-1	9.651779022E0	9.846643705E0
9.664667916E-1	-1.806144104E0	1.579216003E-1	9.523046722E0	9.694096896E0
9.764297917E-1	-1.920805664E0	2.802172852E-1	9.675280151E0	9.868083002E0
9.863937916E-1	-1.790576477E0	1.460961914E-1	9.492360535E0	9.660870392E0
9.963577916E-1	-1.943408661E0	2.800675964E-1	9.652976532E0	9.850646223E0
1.006320792E0	-1.777703247E0	1.429527283E-1	9.516610107E0	9.682279290E0
1.016284792E0	-1.868863678E0	2.207908630E-1	9.652078400E0	9.833820086E0
1.026247792E0	-1.826651459E0	1.916015625E-1	9.547146606E0	9.722210399E0
1.036211792E0	-1.862576752E0	2.278262329E-1	9.737251282E0	9.916408597E0
1.046175792E0	-1.884131927E0	2.119592285E-1	9.493857422E0	9.681332996E0
1.056138792E0	-1.791474609E0	2.282752991E-1	9.618248749E0	9.786327191E0
1.066102792E0	-1.935924225E0	2.152523804E-1	9.535919952E0	9.732826184E0
1.076065792E0	-1.730401611E0	1.871109009E-1	9.544601898E0	9.701995961E0
1.086029792E0	-1.991608429E0	2.535726929E-1	9.607321472E0	9.814857570E0
1.095992792E0	-1.706301727E0	1.474433899E-1	9.524094543E0	9.676858065E0
1.105956792E0	-1.982926483E0	2.751278687E-1	9.692494354E0	9.897077326E0
1.115920792E0	-1.711241455E0	1.543290710E-1	9.554780731E0	9.708037886E0
1.125883792E0	-1.995650024E0	2.891986084E-1	9.655221863E0	9.863547236E0
1.135847792E0	-1.761387177E0	1.645079041E-1	9.489666138E0	9.653150317E0
1.145810792E0	-1.960622864E0	2.556683350E-1	9.661957855E0	9.862192348E0
1.155774792E0	-1.785636749E0	1.514849854E-1	9.502389679E0	9.669894307E0
1.165737792E0	-1.867516479E0	2.356100464E-1	9.579179993E0	9.762367501E0
1.175701792E0	-1.848805389E0	1.838177490E-1	9.555678864E0	9.734622174E0
1.185665792E0	-1.819616089E0	2.080673218E-1	9.618099060E0	9.790920501E0
1.195628792E0	-1.901196442E0	2.312690735E-1	9.585915985E0	9.775367950E0
1.205592792E0	-1.839674377E0	2.134561157E-1	9.592951355E0	9.770091147E0
1.215555792E0	-1.925895081E0	2.507286072E-1	9.633666687E0	9.827485463E0
1.225519792E0	-1.729353790E0	1.986369324E-1	9.503437500E0	9.661544674E0
1.235483792E0	-1.942510529E0	2.531236267E-1	9.616153107E0	9.813654737E0
1.245446792E0	-1.761985931E0	1.577719116E-1	9.554181976E0	9.716577568E0
1.255410792E0	-1.999392242E0	2.812651062E-1	9.631720734E0	9.841073300E0
1.265373792E0	-1.727108459E0	1.550775146E-1	9.526339874E0	9.682876849E0
1.275337792E0	-1.980082397E0	2.643502808E-1	9.693242798E0	9.896947171E0
1.285300792E0	-1.725312195E0	1.851649475E-1	9.520951080E0	9.677783718E0
1.295264792E0	-1.998793488E0	2.537223816E-1	9.625733185E0	9.834342367E0
1.305228792E0	-1.760189667E0	2.080673218E-1	9.449699249E0	9.614487796E0
1.315191792E0	-1.896107025E0	2.404000854E-1	9.659712524E0	9.846982284E0
1.325155792E0	-1.811682587E0	1.980381775E-1	9.536668396E0	9.709245955E0
1.335118792E0	-1.860032043E0	2.101629639E-1	9.629325714E0	9.809577024E0
1.345082792E0	-1.904489594E0	2.163002014E-1	9.587861938E0	9.777574492E0
1.355046792E0	-1.763482819E0	2.335144043E-1	9.551786957E0	9.716019488E0
1.365009792E0	-1.935475159E0	2.342628479E-1	9.642498322E0	9.837617448E0
1.374973792E0	-1.830243988E0	1.784289551E-1	9.532177734E0	9.707937078E0
1.384936792E0	-1.953138428E0	2.688409424E-1	9.685159607E0	9.883791873E0
1.394900792E0	-1.774859161E0	1.592687988E-1	9.534572754E0	9.699668509E0
1.404863792E0	-1.873054962E0	2.480342102E-1	9.642198944E0	9.825571553E0
1.414827792E0	-1.820963287E0	1.541793823E-1	9.570498047E0	9.743413747E0
1.424791792E0	-1.958078156E0	2.799179077E-1	9.629026337E0	9.830085060E0
1.434754792E0	-1.816322937E0	1.764830017E-1	9.516161041E0	9.689556039E0
1.444718792E0	-1.871258698E0	2.570155334E-1	9.602681122E0	9.786682320E0
1.454681792E0	-1.791324921E0	1.947450256E-1	9.557624817E0	9.725994177E0
1.464645792E0	-1.896256714E0	2.438429260E-1	9.554481354E0	9.743888486E0
1.474609792E0	-1.923050995E0	2.143542480E-1	9.557325439E0	9.751232867E0
1.484572792E0	-1.820065155E0	1.989363098E-1	9.630822601E0	9.803313562E0
1.494536792E0	-1.900447998E0	2.255809021E-1	9.620344391E0	9.808853936E0
1.504499792E0	-1.795366516E0	1.649569702E-1	9.597142639E0	9.765024248E0
1.514463792E0	-1.959425354E0	2.481838989E-1	9.619595947E0	9.820263192E0
1.524426792E0	-1.792073364E0	1.848655701E-1	9.576335907E0	9.744327151E0
1.534390792E0	-1.933379517E0	2.668949890E-1	9.604477386E0	9.800774212E0
1.544354792E0	-1.818119202E0	1.842668152E-1	9.559870148E0	9.732966091E0
1.554317792E0	-1.916165314E0	2.448907471E-1	9.643097076E0	9.834682619E0
1.564281792E0	-1.807790680E0	1.812730408E-1	9.533824310E0	9.705399169E0
1.574244792E0	-1.880689087E0	2.453398132E-1	9.651928711E0	9.836509081E0
1.584208792E0	-1.834135895E0	1.797761536E-1	9.529932404E0	9.706491929E0
1.594172792E0	-1.929936676E0	2.691403198E-1	9.700427856E0	9.894210059E0
1.604135792E0	-1.821861420E0	1.838177490E-1	9.544601898E0	9.718662119E0
1.614099792E0	-1.905238037E0	2.219883728E-1	9.596244507E0	9.786067619E0
1.624062792E0	-1.844614105E0	2.395019531E-1	9.628876648E0	9.806896955E0
1.634026792E0	-1.868414612E0	2.028282166E-1	9.536219330E0	9.719649765E0
1.643990792E0	-1.910177765E0	2.475851440E-1	9.574988708E0	9.766805325E0
1.653953792E0	-1.876797180E0	1.657054138E-1	9.530980225E0	9.715421246E0
1.663917792E0	-1.911524963E0	2.785707092E-1	9.605824585E0	9.798132234E0
1.673880792E0	-1.810036011E0	1.657054138E-1	9.563163300E0	9.734360839E0
1.683844792E0	-1.929188232E0	2.644999695E-1	9.606573029E0	9.801937197E0
1.693807792E0	-1.800755310E0	2.065704346E-1	9.621990967E0	9.791225725E0
1.703771792E0	-1.873803406E0	2.582130432E-1	9.599837036E0	9.784410268E0
1.713735792E0	-1.900447998E0	1.773811340E-1	9.614207153E0	9.801844002E0
1.723698792E0	-1.896556091E0	2.435435486E-1	9.615254974E0	9.803538478E0
1.733662792E0	-1.847757568E0	1.871109009E-1	9.533824310E0	9.713033743E0
1.743625792E0	-1.867965546E0	2.266287231E-1	9.593550110E0	9.776341830E0
1.753589792E0	-1.862127686E0	1.987866211E-1	9.567354584E0	9.748913240E0
1.763553792E0	-1.910626831E0	2.451901245E-1	9.627529449E0	9.818346927E0
1.773516792E0	-1.898052979E0	2.703378296E-1	9.572893066E0	9.762989773E0
1.783480792E0	-1.863624573E0	1.830693054E-1	9.637558594E0	9.817797440E0
1.793443792E0	-1.889820099E0	2.558180237E-1	9.607471161E0	9.794915261E0
1.803407792E0	-1.873204651E0	1.908531189E-1	9.580826569E0	9.764095366E0
1.813370792E0	-1.898202667E0	2.510279846E-1	9.507179718E0	9.698074789E0
1.823334792E0	-1.856289825E0	1.722917175E-1	9.601034546E0	9.780355858E0
1.833298792E0	-1.870959320E0	2.501298523E-1	9.602681122E0	9.786446671E0
1.843261792E0	-1.827399902E0	2.032772827E-1	9.591005402E0	9.765659049E0
1.853225792E0	-1.968107300E0	2.559677124E-1	9.601034546E0	9.804021122E0
1.863188792E0	-1.829196167E0	1.974394226E-1	9.586365051E0	9.761318345E0
1.873152792E0	-1.904788971E0	2.502795410E-1	9.583221588E0	9.773893640E0
1.883116792E0	-1.835034027E0	2.035766602E-1	9.560169525E0	9.736818509E0
1.893079792E0	-1.976040802E0	2.306703186E-1	9.589957581E0	9.794142762E0
1.903043792E0	-1.817520447E0	2.495310974E-1	9.582772522E0	9.756801502E0
1.913006792E0	-1.924697571E0	2.068698120E-1	9.535021820E0	9.729537346E0
1.922970792E0	-1.824705505E0	2.559677124E-1	9.585766296E0	9.761249159E0
1.932933792E0	-1.909279633E0	1.980381775E-1	9.613608398E0	9.803368517E0
1.942897792E0	-1.875000916E0	2.673440552E-1	9.600286102E0	9.785325468E0
1.952861792E0	-1.920057220E0	1.628613281E-1	9.620643768E0	9.811724112E0
1.962824792E0	-1.828148346E0	2.591111755E-1	9.570198669E0	9.746690082E0
1.972788792E0	-1.871707764E0	1.911524963E-1	9.637857971E0	9.819782864E0
1.982751792E0	-1.941911774E0	2.579136658E-1	9.495953064E0	9.695909725E0
1.992715792E0	-1.866019592E0	2.136058044E-1	9.543554077E0	9.726617140E0
2.002679792E0	-1.973945160E0	2.571652222E-1	9.610015869E0	9.814020504E0
2.012642792E0	-1.807341614E0	2.179467773E-1	9.548194427E0	9.720185252E0
