"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.777720000E-1,-1.030583028E-2,1.354891062E-2,1.371239722E-1,1.381765786E-1
5.877340001E-1,-1.515731029E-2,3.343553096E-2,1.419205964E-1,1.465917271E-1
5.976950000E-1,-2.164675854E-2,5.507073551E-2,1.442649662E-1,1.559286649E-1
6.076570000E-1,-3.416681290E-2,6.381895393E-2,1.536717862E-1,1.698683250E-1
6.176190000E-1,-3.563403338E-2,7.249125093E-2,1.534190476E-1,1.733844571E-1
6.275800000E-1,-3.455545381E-2,7.307208329E-2,1.492402852E-1,1.697241039E-1
6.375420000E-1,-3.309398517E-2,8.390059322E-2,1.477648914E-1,1.731155236E-1
6.475030000E-1,-2.742598020E-2,8.013887703E-2,1.380337179E-1,1.619497801E-1
6.574650001E-1,-1.972411014E-2,7.635012269E-2,1.351622939E-1,1.564839527E-1
6.674270000E-1,-1.430484466E-2,7.527180761E-2,1.332275122E-1,1.536881375E-1
6.773880000E-1,-8.486248553E-3,6.776280701E-2,1.279328614E-1,1.450194176E-1
6.873500000E-1,-3.294149414E-3,6.127081811E-2,1.274114251E-1,1.414165331E-1
6.973110000E-1,-1.294857007E-3,5.045553297E-2,1.311124265E-1,1.404916576E-1
7.072730000E-1,-3.789960174E-4,3.776636720E-2,1.273685396E-1,1.328502428E-1
7.172350000E-1,8.165416075E-4,3.060272895E-2,1.290226430E-1,1.326048120E-1
7.271960001E-1,-6.105546374E-3,2.440368943E-2,1.293733865E-1,1.317963994E-1
7.371580000E-1,-4.067219328E-3,1.837196760E-2,1.306341141E-1,1.319823596E-1
7.471190001E-1,-9.633051232E-4,1.565581001E-2,1.312184036E-1,1.321525701E-1
7.570810000E-1,3.434983548E-3,1.657130755E-2,1.330157816E-1,1.340880513E-1
7.670420000E-1,8.889404126E-3,2.268352918E-2,1.405099183E-1,1.426064555E-1
7.770040000E-1,1.164039224E-2,3.121496551E-2,1.512640268E-1,1.548892462E-1
7.869660000E-1,1.499704085E-2,4.310038686E-2,1.570446789E-1,1.635407771E-1
7.969270000E-1,1.840581000E-2,5.466739088E-2,1.662056893E-1,1.759307495E-1
8.068890000E-1,2.071423829E-2,6.820716709E-2,1.685964018E-1,1.830465624E-1
8.168500001E-1,5.776533112E-2,3.641478717E-2,1.253906190E-1,1.427784212E-1
8.268120000E-1,3.609359264E-2,-2.161333114E-1,1.067823097E-1,2.437597534E-1
8.367740000E-1,5.201755837E-2,-9.971644729E-2,1.401336044E-1,1.796847888E-1
8.467350000E-1,8.401905186E-3,-1.563847810E-1,1.692315787E-1,2.305777938E-1
8.566970000E-1,3.705195151E-3,5.123019218E-4,2.176390588E-1,2.176711989E-1
8.666580000E-1,-2.069282159E-2,3.799842671E-2,2.582194805E-1,2.618193526E-1
8.766200000E-1,-4.251214489E-2,3.630077839E-2,2.912078202E-1,2.965249121E-1
8.865812500E-1,-6.111245975E-2,-2.161178738E-2,3.165715039E-1,3.231397827E-1
8.965422501E-1,-7.211066782E-2,-1.130881757E-1,3.250201046E-1,3.516062461E-1
9.065042500E-1,-6.568792462E-2,-2.336433530E-1,3.121618330E-1,3.954100781E-1
9.164652500E-1,-6.484793872E-2,-2.670404315E-1,3.151560426E-1,4.181377505E-1
9.264272500E-1,-7.566436380E-2,-2.722721994E-1,3.147690892E-1,4.230092505E-1
9.363892500E-1,-7.428122312E-2,-2.423642278E-1,3.103468716E-1,4.007159839E-1
9.463502500E-1,-6.146395952E-2,-1.800806224E-1,2.955471575E-1,3.515038708E-1
9.563122500E-1,-3.682719544E-2,-1.040638611E-1,2.703360915E-1,2.920053628E-1
9.662732501E-1,-5.403760821E-3,-2.831929736E-2,2.444746792E-1,2.461687470E-1
9.762352500E-1,3.222555295E-2,3.082909808E-2,2.159804404E-1,2.205367774E-1
9.861972500E-1,7.636930794E-2,1.284073293E-1,1.868419945E-1,2.392292715E-1
9.961582500E-1,9.857933223E-2,2.867925465E-1,1.829314083E-1,3.541634504E-1
1.006120250E0,1.160355508E-1,3.673185408E-1,1.943723559E-1,4.314716355E-1
1.016081250E0,1.333263814E-1,3.357401490E-1,2.030957937E-1,4.144216127E-1
1.026043250E0,1.461284608E-1,3.084414303E-1,2.015687525E-1,3.963831543E-1
1.036005250E0,1.674337983E-1,3.068501651E-1,1.851314455E-1,3.955562574E-1
1.045966250E0,1.869097650E-1,2.779839039E-1,1.527439505E-1,3.681589677E-1
1.055928250E0,2.016567290E-1,2.327137291E-1,1.151025593E-1,3.287395858E-1
1.065889250E0,1.937458068E-1,1.688074470E-1,8.264714479E-2,2.699332183E-1
1.075851250E0,1.616481990E-1,1.161955893E-1,5.389726162E-2,2.062437151E-1
1.085812250E0,1.085583493E-1,6.795215607E-2,3.020551242E-2,1.315856516E-1
1.095774250E0,4.198000208E-2,2.560412139E-2,4.383770749E-3,4.936708470E-2
1.105736250E0,-1.751714945E-2,2.012928016E-4,-2.118310891E-2,2.748845479E-2
1.115697250E0,-6.924933940E-2,-1.666254550E-2,-5.387794226E-2,8.930814125E-2
1.125659250E0,-1.032499224E-1,-4.088426381E-2,-7.400265336E-2,1.334483503E-1
1.135620250E0,-1.217947081E-1,-6.680909544E-2,-8.924525231E-2,1.651124502E-1
1.145582250E0,-1.235148460E-1,-8.946593851E-2,-8.742045611E-2,1.757908060E-1
1.155544250E0,-1.000076085E-1,-1.159844100E-1,-8.358337730E-2,1.744708746E-1
1.165505250E0,-6.222401559E-2,-1.457889080E-1,-7.346682250E-2,1.747100679E-1
1.175467250E0,-2.985943342E-3,-1.600014716E-1,-6.945370138E-2,1.744511491E-1
1.185428250E0,6.784561276E-2,-1.678471565E-1,-7.608763874E-2,1.963797950E-1
1.195390250E0,1.414460838E-1,-1.762681603E-1,-8.462546766E-2,2.413274306E-1
1.205352250E0,2.032889575E-1,-1.719309390E-1,-9.612420201E-2,2.830662647E-1
1.215313250E0,2.394865602E-1,-1.445642412E-1,-1.070410311E-1,2.995169690E-1
1.225275250E0,2.591252327E-1,-1.123341396E-1,-1.165075004E-1,3.055140632E-1
1.235236250E0,2.612974048E-1,-9.015446156E-2,-1.395560801E-1,3.096450551E-1
1.245198250E0,2.505345047E-1,-6.636258215E-2,-1.685083807E-1,3.091384879E-1
1.255160250E0,2.224014103E-1,-5.806218088E-2,-2.017571479E-1,3.058423628E-1
1.265121250E0,1.835922301E-1,-6.758219004E-2,-2.239138484E-1,2.973396557E-1
1.275083250E0,1.310898215E-1,-7.590807229E-2,-2.398821712E-1,2.837076537E-1
1.285044250E0,8.780919015E-2,-9.784852713E-2,-2.648373246E-1,2.956748157E-1
1.295006250E0,5.228669941E-2,-1.273153871E-1,-2.878640592E-1,3.190749494E-1
1.304968250E0,2.627347410E-2,-1.627921611E-1,-3.115134537E-1,3.524659062E-1
1.314929250E0,6.894741673E-4,-1.964253783E-1,-3.263350427E-1,3.808910142E-1
1.324891250E0,-2.877334319E-2,-2.328217328E-1,-3.172925413E-1,3.945990639E-1
1.334852250E0,-5.800009891E-2,-2.458660305E-1,-2.903333604E-1,3.848474718E-1
1.344814250E0,-8.023163676E-2,-2.411972433E-1,-2.443666607E-1,3.526021704E-1
1.354776250E0,-8.172989637E-2,-1.994372457E-1,-2.009472847E-1,2.946774545E-1
1.364737250E0,-6.230133772E-2,-1.372737437E-1,-1.586243212E-1,2.188314710E-1
1.374699250E0,-2.185549028E-2,-8.660437167E-2,-1.215288937E-1,1.508219203E-1
1.384660250E0,3.304637596E-2,-5.007405952E-2,-9.665469825E-2,1.137611757E-1
1.394622250E0,9.779394418E-2,-2.700735256E-2,-7.627592981E-2,1.269293901E-1
1.404584250E0,1.633159667E-1,-4.540126771E-3,-6.590211391E-2,1.761698225E-1
1.414545250E0,2.191208154E-1,1.494474616E-2,-6.189724803E-2,2.281853336E-1
1.424507250E0,2.550918460E-1,3.557412326E-2,-5.817335099E-2,2.640483041E-1
1.434468250E0,2.675137818E-1,5.660799146E-2,-5.569208413E-2,2.790514225E-1
1.444430250E0,2.484327704E-1,7.810954750E-2,-4.457551986E-2,2.642099918E-1
1.454392250E0,2.016779035E-1,1.026041433E-1,-3.346534073E-2,2.287389692E-1
1.464353250E0,1.334067136E-1,1.244689599E-1,-2.228139713E-2,1.838105924E-1
1.474315250E0,6.228741631E-2,1.498590857E-1,-1.855430380E-2,1.633454315E-1
1.484276250E0,-1.147469226E-2,1.714408100E-1,-2.483723313E-2,1.736102187E-1
1.494238250E0,-7.482052594E-2,1.796957403E-1,-3.595326841E-2,1.979426879E-1
1.504200250E0,-1.279846877E-1,1.734801829E-1,-4.844216257E-2,2.209572295E-1
1.514161250E0,-1.601809710E-1,1.462553591E-1,-5.476077646E-2,2.237125749E-1
1.524123250E0,-1.776550412E-1,1.016908213E-1,-5.717359856E-2,2.125350728E-1
1.534084250E0,-1.739694774E-1,5.355723947E-2,-5.916138738E-2,1.913996519E-1
1.544046250E0,-1.588810831E-1,8.742631413E-3,-5.519726872E-2,1.684231892E-1
1.554007250E0,-1.364225298E-1,-1.982282102E-2,-4.502905905E-2,1.450229880E-1
1.563969250E0,-1.089424342E-1,-2.775424905E-2,-2.900481969E-2,1.161035395E-1
1.573931250E0,-8.089876920E-2,-2.096352540E-2,-4.342610948E-3,8.368356186E-2
1.583892250E0,-5.684803054E-2,-7.667427883E-3,2.972028591E-2,6.460482506E-2
1.593854250E0,-4.104264081E-2,1.555347163E-2,6.519705057E-2,7.859430162E-2
1.603815250E0,-3.240467608E-2,4.448525235E-2,1.007316113E-1,1.147861412E-1
1.613777250E0,-3.062514029E-2,5.988036096E-2,1.336850375E-1,1.496504130E-1
1.623739250E0,-3.101848625E-2,6.407590210E-2,1.601568609E-1,1.752657634E-1
1.633700250E0,-3.206184879E-2,4.975134134E-2,1.808136553E-1,1.902543982E-1
1.643662250E0,-3.543980420E-2,2.616265789E-2,1.915248930E-1,1.965254412E-1
1.653623250E0,-4.328031093E-2,-9.195234627E-3,1.978967786E-1,2.027828213E-1
1.663585250E0,-5.116699636E-2,-3.718611971E-2,1.995178461E-1,2.093041804E-1
1.673547250E0,-7.160332054E-2,-6.237556040E-2,2.082993537E-1,2.289243692E-1
1.683508250E0,-9.211951494E-2,-8.487101644E-2,2.168502212E-1,2.504258630E-1
1.693470250E0,-1.096253246E-1,-1.079504341E-1,2.242146581E-1,2.719250282E-1
1.703431250E0,-1.294757128E-1,-1.196760610E-1,2.348960489E-1,2.937047387E-1
1.713393250E0,-1.468835920E-1,-1.220002994E-1,2.436176538E-1,3.095293587E-1
1.723355250E0,-1.587879360E-1,-1.208077371E-1,2.526891828E-1,3.219626392E-1
1.733316250E0,-1.644695699E-1,-1.128738672E-1,2.611689568E-1,3.286334939E-1
1.743278250E0,-1.596207619E-1,-1.062508523E-1,2.692655027E-1,3.305630684E-1
1.753239250E0,-1.482411176E-1,-9.009199589E-2,2.712069452E-1,3.219397518E-1
1.763201250E0,-1.302642524E-1,-7.614635676E-2,2.735283971E-1,3.123857025E-1
1.773163250E0,-1.101428941E-1,-7.319942117E-2,2.786949277E-1,3.084809153E-1
1.783124250E0,-8.892096579E-2,-6.176353991E-2,2.834766507E-1,3.034479931E-1
1.793086250E0,-7.560931146E-2,-4.902491719E-2,2.837834656E-1,2.977469829E-1
1.803047250E0,-6.092810631E-2,-3.211331367E-2,2.873414457E-1,2.954802962E-1
1.813009250E0,-5.374549702E-2,-1.429782808E-2,2.903103232E-1,2.955893945E-1
1.822971250E0,-4.607372731E-2,3.926715348E-3,2.815980613E-1,2.853693669E-1
1.832932250E0,-3.633036464E-2,2.411255613E-2,2.635722160E-1,2.671546815E-1
1.842894250E0,-3.467201442E-2,3.440727293E-2,2.419896573E-1,2.468704179E-1
1.852855250E0,-3.669443727E-2,3.785962239E-2,2.149527371E-1,2.213244494E-1
1.862817250E0,-5.421643704E-2,3.616026044E-2,1.953103244E-1,2.058958701E-1
1.872779250E0,-7.506220043E-2,3.244178742E-2,1.812714636E-1,1.988621307E-1
1.882740250E0,-1.091115102E-1,2.603555284E-2,1.762668490E-1,2.089334194E-1
1.892702167E0,-1.436748207E-1,2.234562114E-2,1.797566414E-1,2.312017106E-1
1.902663167E0,-1.762005389E-1,1.493830513E-2,1.878611743E-1,2.579953559E-1
1.912625167E0,-1.959622800E-1,1.254247781E-2,2.035701126E-1,2.828415098E-1
1.922587167E0,-1.996155977E-1,7.913904265E-3,2.135167420E-1,2.924011215E-1
1.932548167E0,-1.853924841E-1,1.092431694E-2,2.204747796E-1,2.882686981E-1
1.942510167E0,-1.572391391E-1,1.429401431E-2,2.259707451E-1,2.756650927E-1
1.952471167E0,-1.207413673E-1,2.914765105E-2,2.325498164E-1,2.636427136E-1
1.962433167E0,-7.963334769E-2,4.991178215E-2,2.438448220E-1,2.613292048E-1
1.972395167E0,-3.924335912E-2,7.179531455E-2,2.543653846E-1,2.672009680E-1
1.982356167E0,-3.441629233E-4,8.164661378E-2,2.618315518E-1,2.742663842E-1
1.992318167E0,2.880356647E-2,9.550146759E-2,2.648723423E-1,2.830327428E-1
2.002279167E0,5.017437041E-2,1.000035405E-1,2.622579336E-1,2.851269880E-1
2.012241167E0,6.109057367E-2,9.625799954E-2,2.549526095E-1,2.792821043E-1
2.022203167E0,5.100598186E-2,9.390829504E-2,2.466781586E-1,2.688317169E-1
2.032164167E0,3.160350397E-2,9.585200995E-2,2.332057506E-1,2.541088573E-1
2.042126167E0,2.168117790E-3,9.593164176E-2,2.180584967E-1,2.382374627E-1
2.052087167E0,-2.850624919E-2,9.300545603E-2,1.981012970E-1,2.206960466E-1
2.062049167E0,-6.402429193E-2,8.159168065E-2,1.743634790E-1,2.028766500E-1
2.072011167E0,-8.760268986E-2,7.368451357E-2,1.445017159E-1,1.843485414E-1
2.081972167E0,-1.125844717E-1,7.077448070E-2,1.202565730E-1,1.792928714E-1
2.091934167E0,-1.259867251E-1,5.921687186E-2,9.721091390E-2,1.697917978E-1
2.101895167E0,-1.256794035E-1,5.621495098E-2,7.001950592E-2,1.544608831E-1
2.111857167E0,-1.153944284E-1,5.773128197E-2,4.534371942E-2,1.367655948E-1
2.121819167E0,-8.769862354E-2,7.389640808E-2,2.622621693E-2,1.176415834E-1
2.131780167E0,-5.856335536E-2,9.836424887E-2,9.018734097E-3,1.148326156E-1
2.141742167E0,-1.669180766E-2,1.251292825E-1,-1.500217896E-2,1.271259971E-1
2.151703167E0,2.612548135E-2,1.631075591E-1,-4.627594352E-2,1.715461441E-1
2.161665167E0,6.241051480E-2,1.862653494E-1,-7.423806936E-2,2.100027230E-1
2.171627167E0,8.864938468E-2,1.960075796E-1,-9.763794392E-2,2.362432068E-1
2.181588167E0,9.046246856E-2,1.704793125E-1,-1.171237603E-1,2.257534705E-1
2.191550167E0,7.292907685E-2,1.151814759E-1,-1.230828464E-1,1.836703833E-1
2.201511167E0,3.661527857E-2,4.530093074E-2,-1.149506122E-1,1.288661949E-1
2.211473167E0,-2.460956573E-3,-1.786067709E-2,-1.058316827E-1,1.073564397E-1
2.221435167E0,-4.509044066E-2,-7.317480445E-2,-8.703349531E-2,1.223214174E-1
2.231396167E0,-8.132417500E-2,-1.190811098E-1,-6.654127687E-2,1.588133296E-1
2.241358167E0,-1.006038636E-1,-1.410878748E-1,-4.839555919E-2,1.799140237E-1
2.251319167E0,-9.688891470E-2,-1.300422251E-1,-3.579907119E-2,1.660723204E-1
2.261281167E0,-6.648173928E-2,-8.610379696E-2,-2.869429253E-2,1.125035463E-1
2.271243167E0,-1.124647353E-2,-2.394989878E-2,-2.764474042E-2,3.826633626E-2
2.281204167E0,5.556904152E-2,4.472690076E-2,-3.639828414E-2,8.008276416E-2
2.291166167E0,1.315340847E-1,8.807940781E-2,-6.430661678E-2,1.708640936E-1
2.301127167E0,2.016623020E-1,1.188133508E-1,-8.818292618E-2,2.501210204E-1
2.311089167E0,2.482381016E-1,1.217787117E-1,-1.220676452E-1,3.022461244E-1
2.321051167E0,2.729477286E-1,1.000028402E-1,-1.524822712E-1,3.282558052E-1
2.331012167E0,2.641364038E-1,7.173764706E-2,-1.841781586E-1,3.299029008E-1
2.340974167E0,2.388640344E-1,4.228175431E-2,-2.153118402E-1,3.243500612E-1
2.350935167E0,1.919998825E-1,1.416901592E-2,-2.474844307E-1,3.135494527E-1
2.360897167E0,1.363126487E-1,3.418831620E-4,-2.838879824E-1,3.149184682E-1
2.370859167E0,7.099020481E-2,1.233576797E-2,-3.050800860E-1,3.134735064E-1
2.380820167E0,6.750259781E-4,1.191125996E-2,-3.248279393E-1,3.250469565E-1
2.390782167E0,-5.341909081E-2,6.071601529E-3,-3.337804377E-1,3.380825997E-1
2.400743167E0,-1.043147594E-1,-9.545440786E-3,-3.322760165E-1,3.483963771E-1
2.410705167E0,-1.238562465E-1,-3.467701748E-2,-3.220753074E-1,3.468073946E-1
2.420667167E0,-1.216141358E-1,-6.400693953E-2,-3.057298958E-1,3.351979349E-1
2.430628167E0,-9.236243367E-2,-9.889679402E-2,-2.935677767E-1,3.232544424E-1
2.440590167E0,-4.404016957E-2,-1.280368268E-1,-2.817103267E-1,3.125598722E-1
2.450551167E0,1.993729919E-2,-1.447707415E-1,-2.630146444E-1,3.008866342E-1
2.460513167E0,8.743777871E-2,-1.492349952E-1,-2.412310690E-1,2.968313959E-1
2.470475167E0,1.446374208E-1,-1.492412239E-1,-2.098744661E-1,2.953645509E-1
2.480436167E0,2.013742030E-1,-1.541438252E-1,-1.833967865E-1,3.129636876E-1
2.490398167E0,2.386483401E-1,-1.535880268E-1,-1.573803574E-1,3.245163926E-1
