"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.675627501E-1,7.365463469E-3,1.033439635E-2,-7.286215425E-3,1.463347995E-2
6.775257500E-1,6.691517048E-3,1.019826586E-2,-3.423193932E-2,3.634015267E-2
6.874897500E-1,8.166906601E-3,1.332741702E-2,-4.486100793E-2,4.750608846E-2
6.974537501E-1,1.029413736E-2,5.201043505E-3,-1.003382206E-3,1.157699846E-2
7.074167500E-1,1.136452957E-2,8.229339332E-3,-5.294536829E-2,5.477304612E-2
7.173807500E-1,1.420174935E-2,8.565572505E-3,-4.231571496E-2,4.544973541E-2
7.273437501E-1,1.846468933E-2,4.208789282E-3,-2.497930527E-3,1.910231181E-2
7.373077500E-1,2.038636762E-2,1.239290406E-2,-5.623442709E-2,6.108599550E-2
7.472717500E-1,1.736973882E-2,1.431080906E-2,-1.701598227E-2,2.821437108E-2
7.572347501E-1,1.458751484E-2,7.433729712E-3,-2.001034141E-2,2.585478079E-2
7.671987501E-1,1.458079511E-2,1.319948177E-2,-5.548656821E-2,5.886922080E-2
7.771627500E-1,2.069578126E-2,8.767835917E-3,-4.742676616E-3,2.297135804E-2
7.871257500E-1,2.165600827E-2,7.097332086E-3,-3.737423301E-2,4.377428595E-2
7.970897501E-1,1.460693399E-2,1.385145089E-2,-5.174435019E-2,5.552209461E-2
8.070527500E-1,1.057068782E-2,2.271917369E-3,-2.165867150E-2,2.420741830E-2
8.170167500E-1,9.958292479E-3,1.940509063E-2,-5.099941492E-2,5.546769739E-2
8.269807501E-1,1.180285147E-2,1.099605449E-2,-4.530948937E-2,4.809542955E-2
8.369437500E-1,1.349270593E-2,9.612680920E-3,-2.255504966E-2,2.798547861E-2
8.469077500E-1,7.455944563E-3,1.135844481E-2,-4.875057578E-2,5.060853700E-2
8.568717500E-1,1.750949184E-2,1.091974832E-2,-2.569851279E-2,3.295810625E-2
8.668347500E-1,2.332172470E-2,1.094967876E-2,-2.824380577E-2,3.822971190E-2
8.767987500E-1,9.624535237E-3,6.584924133E-3,-4.425991416E-2,4.577043703E-2
8.867617500E-1,7.634823681E-3,5.280451435E-3,-3.557855308E-2,3.676964970E-2
8.967257501E-1,1.310838398E-2,8.841401199E-4,-4.306415856E-2,4.502369584E-2
9.066897500E-1,1.843780585E-2,1.898362515E-3,-4.351439416E-2,4.729755770E-2
9.166527500E-1,1.580775565E-2,1.744928836E-2,-2.091081262E-2,3.149007601E-2
9.266167501E-1,1.600113861E-2,8.288017055E-3,-5.010069788E-2,5.324291118E-2
9.365807500E-1,1.295008432E-2,1.268766768E-2,-3.333614588E-2,3.794707126E-2
9.465437500E-1,2.096442884E-2,1.331660424E-2,-3.228890955E-2,4.073589210E-2
9.565077500E-1,1.401949438E-2,1.375142239E-2,-5.010245204E-2,5.381359996E-2
9.664717501E-1,1.234566952E-2,7.208538819E-3,-2.989447474E-2,3.313696136E-2
9.764347500E-1,1.135506439E-2,1.031775920E-2,-2.375782192E-2,2.828122601E-2
9.863987500E-1,1.132266716E-2,1.236059362E-2,-4.306766689E-2,4.621483525E-2
9.963617501E-1,1.322286607E-2,1.251721677E-2,-2.839817226E-2,3.373397531E-2
1.006325750E0,2.813250767E-3,-1.801033784E-4,-3.408634365E-2,3.420271393E-2
1.016289750E0,1.304814395E-2,4.695346146E-3,-3.887638271E-2,4.127557957E-2
1.026252750E0,5.775852213E-3,1.022553764E-2,-2.091432095E-2,2.398605656E-2
1.036216750E0,1.534006977E-2,1.024365031E-2,-4.067440152E-2,4.466158362E-2
1.046180750E0,1.275597047E-2,3.077928638E-3,-4.052529752E-2,4.259680935E-2
1.056143750E0,2.008855705E-2,1.194379221E-2,-3.573408902E-2,4.269811957E-2
1.066107750E0,1.428834753E-2,7.910072221E-3,-3.573525846E-2,3.929039087E-2
1.076070750E0,1.410299079E-2,1.440659376E-2,-2.795202971E-2,3.446389789E-2
1.086034750E0,2.231568840E-2,5.142754074E-3,-3.723273039E-2,4.371171560E-2
1.095998750E0,1.485374131E-2,2.741626943E-3,-4.277179778E-2,4.536052066E-2
1.105961750E0,5.159551115E-3,1.347918425E-2,-3.468802214E-2,3.757084316E-2
1.115925750E0,1.603359979E-2,1.049474711E-3,-3.124459684E-2,3.513406539E-2
1.125889750E0,1.761313374E-2,7.355404431E-3,-3.139370084E-2,3.674083432E-2
1.135852750E0,1.937357962E-2,1.752775982E-2,-2.959802091E-2,3.947911845E-2
1.145816750E0,1.216955412E-2,1.204813303E-2,-4.366934538E-2,4.690700676E-2
1.155779750E0,9.386941851E-3,1.262602980E-2,-3.558615446E-2,3.890894107E-2
1.165743750E0,1.879938304E-2,5.853720680E-3,-1.552786589E-2,2.507583434E-2
1.175707750E0,1.129978993E-2,7.797627524E-3,-3.453716397E-2,3.716589758E-2
1.185670750E0,1.065636780E-2,8.303484768E-3,-2.780117154E-2,3.090972619E-2
1.195634750E0,1.368496969E-2,1.434630349E-2,-4.157370329E-2,4.605939236E-2
1.205598750E0,7.306945631E-3,1.105168983E-2,-4.322086394E-2,4.520591092E-2
1.215561750E0,1.430939294E-2,-1.310479799E-3,-2.930039763E-2,3.263417511E-2
1.225525750E0,1.474117327E-2,7.462298842E-3,-4.262444794E-2,4.571467659E-2
1.235488750E0,1.112825638E-2,4.340561768E-3,-3.918043792E-2,4.096077736E-2
1.245452750E0,1.960392794E-2,5.483710701E-3,-2.959919035E-2,3.592349013E-2
1.255416750E0,1.088529086E-2,5.957956435E-3,-4.636374235E-2,4.799566029E-2
1.265379750E0,1.439803764E-2,6.476860279E-3,-3.348934293E-2,3.702417179E-2
1.275343750E0,1.124204868E-2,5.708997524E-3,-3.304027677E-2,3.536433514E-2
1.285307750E0,1.029994346E-2,8.006501030E-3,-3.798058927E-2,4.015866103E-2
1.295270750E0,1.516800631E-2,3.281352357E-3,-4.426634610E-2,4.690783608E-2
1.305234750E0,6.568899108E-3,6.464179130E-3,-3.274031460E-2,3.401270715E-2
1.315198750E0,1.265871026E-2,8.502902230E-3,-3.648136318E-2,3.954025987E-2
1.325161750E0,1.166932482E-2,7.607437698E-3,-3.318938076E-2,3.599418350E-2
1.335125750E0,9.342804509E-3,7.182733412E-3,-4.291973233E-2,4.450823608E-2
1.345088750E0,1.293066517E-2,1.227207226E-2,-3.992654264E-2,4.372567514E-2
1.355052750E0,1.039931415E-2,9.592613094E-3,-3.214272916E-2,3.511864176E-2
1.365016750E0,9.381085499E-3,1.444993168E-3,-3.184218228E-2,3.322675643E-2
1.374979750E0,1.319304984E-2,8.989436254E-3,-3.423720181E-2,3.777634863E-2
1.384943750E0,1.402808705E-2,3.219878934E-3,-4.067381680E-2,4.314526880E-2
1.394907750E0,1.185288628E-2,1.339881244E-2,-3.064467251E-2,3.548401107E-2
1.404870750E0,1.134747671E-2,5.508328392E-3,-4.157253385E-2,4.344401547E-2
1.414834750E0,8.089769036E-3,1.331443895E-2,-3.094463468E-2,3.464518816E-2
1.424797750E0,1.679478850E-2,1.274349488E-2,-3.782914639E-2,4.330711141E-2
1.434761750E0,1.523675677E-2,1.389003337E-2,-3.767945766E-2,4.295152284E-2
1.444725750E0,1.478962750E-2,4.219378224E-3,-3.154455900E-2,3.509409405E-2
1.454688750E0,2.015767297E-2,4.908116274E-3,-3.827996671E-2,4.354052407E-2
1.464652750E0,1.163615101E-2,5.394577207E-3,-3.723448455E-2,3.938157327E-2
1.474616750E0,1.342230180E-2,8.871770175E-3,-3.558673918E-2,3.905486522E-2
1.484579750E0,1.138039471E-2,2.168302881E-3,-2.795144498E-2,3.025720076E-2
1.494543750E0,1.301045225E-2,1.719355490E-3,-3.154338956E-2,3.416450608E-2
1.504506750E0,1.265399137E-2,1.474411972E-2,-4.531416714E-2,4.930401918E-2
1.514470750E0,6.955619333E-3,1.207921464E-2,-3.977451503E-2,4.214617554E-2
1.524434750E0,9.530865583E-3,3.610783573E-3,-3.558381557E-2,3.701463343E-2
1.534397750E0,1.091170840E-2,8.813535562E-3,-3.139311612E-2,3.438417556E-2
1.544361750E0,1.448005398E-2,6.960904668E-3,-3.813027799E-2,4.137685653E-2
1.554326042E0,1.048751118E-2,1.895863744E-3,-2.884899259E-2,3.075461857E-2
1.564289042E0,1.387533768E-2,2.716410826E-3,-3.887813687E-2,4.136923265E-2
1.574253042E0,7.566178283E-3,1.195169052E-2,-3.408809781E-2,3.690648144E-2
1.584216042E0,1.450250180E-2,1.293318221E-2,-2.974595547E-2,3.553043241E-2
1.594180042E0,1.328278632E-2,4.978081863E-3,-3.423661709E-2,3.705886751E-2
1.604144042E0,2.059210739E-2,9.283368476E-3,-3.483654141E-2,4.151867573E-2
1.614107042E0,1.476051020E-2,9.410563689E-3,-3.199304044E-2,3.646897321E-2
1.624071042E0,1.128193765E-2,1.107243374E-2,-3.827938199E-2,4.141487645E-2
1.634035042E0,1.058131331E-2,9.470168743E-3,-3.678249478E-2,3.942841881E-2
