"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.998107750E0,7.286224561E-3,8.279154869E-3,-3.531835198E-2,3.700026298E-2
6.008071750E0,7.126065670E-3,1.245622301E-2,-3.097854853E-2,3.414101305E-2
6.018034750E0,1.090351316E-2,1.787336224E-2,-3.097913325E-2,3.739051182E-2
6.027998750E0,5.357246390E-3,1.377501681E-2,-3.621823847E-2,3.911792396E-2
6.037962750E0,4.596678950E-3,7.851065593E-3,-3.172582269E-2,3.300449232E-2
6.047925750E0,1.258683519E-2,8.247374338E-3,-3.187609613E-2,3.524958309E-2
6.057889750E0,1.857016762E-2,1.320230945E-2,-3.217547357E-2,3.942604723E-2
6.067853750E0,9.504224206E-3,2.077107330E-2,-3.472252071E-2,4.156225701E-2
6.077816750E0,9.621360381E-3,1.356336131E-2,-3.187960446E-2,3.595614726E-2
6.087780750E0,1.820568052E-2,2.035244920E-2,-3.457283199E-2,4.405621073E-2
6.097743750E0,2.055313204E-2,1.589216113E-2,-2.783742428E-2,3.807773907E-2
6.107707750E0,8.117936170E-3,1.516307729E-2,-3.801567256E-2,4.172542583E-2
6.117671750E0,3.935669493E-3,1.453762164E-2,-2.828765988E-2,3.204720954E-2
6.127634750E0,1.412877793E-2,1.287315689E-2,-4.385528684E-2,4.783959362E-2
6.137598750E0,1.388396689E-2,1.463717963E-3,-4.640057981E-2,4.845534866E-2
6.147562750E0,3.201154140E-3,1.024435837E-2,-3.906583250E-2,4.051337476E-2
6.157525750E0,1.071372533E-2,4.673661198E-5,-2.319941282E-2,2.555384218E-2
6.167489750E0,1.342811247E-2,5.317891887E-3,-3.592295408E-2,3.871760334E-2
6.177452750E0,8.493309142E-3,8.026838377E-3,-4.250867307E-2,4.408575417E-2
6.187416750E0,7.996967328E-3,1.389753882E-2,-3.652053952E-2,3.988537174E-2
6.197380750E0,1.461686055E-2,-3.118448015E-3,-3.621999264E-2,3.918246032E-2
6.207343750E0,1.395648607E-2,1.694773430E-2,-2.828415155E-2,3.580506152E-2
6.217307750E0,1.037809515E-2,1.538756012E-2,-2.888232172E-2,3.433176915E-2
6.227271750E0,8.561730701E-3,8.027103329E-3,-3.666496575E-2,3.849749776E-2
6.237234750E0,1.416370591E-2,5.476730587E-3,-2.962784171E-2,3.329285430E-2
6.247198750E0,7.251707716E-3,1.305534791E-2,-2.259130239E-2,2.708129092E-2
6.257162750E0,6.541896849E-3,1.222545899E-2,-3.187258780E-2,3.475802231E-2
6.267125750E0,1.488739477E-2,1.473973431E-2,-3.935702384E-2,4.458553146E-2
6.277089750E0,1.220827365E-2,5.680816686E-3,-3.651352286E-2,3.891723237E-2
6.287052750E0,1.186523852E-2,9.374297247E-3,-3.846064568E-2,4.132653627E-2
6.297016750E0,1.337013368E-2,1.759160867E-2,-4.010780632E-2,4.579149810E-2
6.306980750E0,1.523695777E-2,1.663688170E-2,-3.067741692E-2,3.807958277E-2
6.316943750E0,1.031964127E-2,8.704969212E-3,-3.217430413E-2,3.489208121E-2
6.326907750E0,1.372907049E-2,1.278051964E-2,-3.157496452E-2,3.672611392E-2
6.336871750E0,1.759225278E-2,1.502338365E-2,-3.651469231E-2,4.322629025E-2
6.346834750E0,1.299736454E-2,6.809502896E-3,-3.052714348E-2,3.387044883E-2
6.356798750E0,1.135862754E-2,9.543866501E-3,-4.325126946E-2,4.572500538E-2
6.366761750E0,1.566157526E-2,7.527723704E-3,-3.666496575E-2,4.057426866E-2
6.376725750E0,9.341854337E-3,7.508158372E-3,-3.142644525E-2,3.363427040E-2
6.386689750E0,1.052060276E-3,1.012632227E-2,-3.591827631E-2,3.733325336E-2
6.396652750E0,6.824280820E-3,2.786294189E-3,-4.160586298E-2,4.225378182E-2
6.406616750E0,1.156094120E-2,1.535013794E-2,-3.980901361E-2,4.420452081E-2
6.416580750E0,1.645757774E-2,1.011761083E-2,-4.040659904E-2,4.478739957E-2
6.426543750E0,1.425579955E-2,1.543346076E-2,-3.771278679E-2,4.317028862E-2
6.436507750E0,1.237161654E-2,1.780907485E-2,-3.501838982E-2,4.118868374E-2
6.446470750E0,1.094625265E-2,1.141630484E-2,-3.576800287E-2,3.910885440E-2
6.456434750E0,1.566683776E-2,1.165036705E-2,-3.636675775E-2,4.127616657E-2
6.466398750E0,1.095781918E-2,2.393274503E-3,-3.172582269E-2,3.365010236E-2
6.476361750E0,6.641431991E-3,7.556667421E-3,-3.741340935E-2,3.874241914E-2
6.486325750E0,9.700320633E-3,1.376709110E-2,-3.142352164E-2,3.565202280E-2
6.496289750E0,1.284424515E-2,4.243493420E-3,-4.010605216E-2,4.232584659E-2
6.506252750E0,1.515851372E-2,7.763855285E-3,-3.771103263E-2,4.137849646E-2
6.516216750E0,7.819906329E-3,1.173508773E-2,-3.172406852E-2,3.471713903E-2
6.526180750E0,1.562936076E-2,1.720462350E-2,-3.367002189E-2,4.091388959E-2
6.536143750E0,1.002715258E-2,1.129469189E-2,-2.139554679E-2,2.618937335E-2
6.546107750E0,3.898832034E-3,3.932362162E-3,-3.471901238E-2,3.515784669E-2
6.556070625E0,1.871078402E-2,3.798328447E-3,-2.573885858E-2,3.204699017E-2
6.566034625E0,1.692265523E-2,4.066756759E-3,-2.768247306E-2,3.269914502E-2
6.575998625E0,1.350074586E-2,3.217064962E-4,-5.148356438E-2,5.322528567E-2
6.585961625E0,1.017399992E-2,1.358714303E-2,-4.534691155E-2,4.841965631E-2
6.595925625E0,8.946194267E-3,1.468065002E-2,-2.768364251E-2,3.258741995E-2
6.605889625E0,1.063758362E-2,5.553763085E-3,-3.486753166E-2,3.687475062E-2
6.615852625E0,6.282801242E-3,1.188647579E-2,-2.783274651E-2,3.090992844E-2
6.625816625E0,1.678185153E-2,1.091736375E-2,-4.040659904E-2,4.509448546E-2
6.635779625E0,1.004907050E-2,2.886359235E-3,-4.055570304E-2,4.188173751E-2
6.645743625E0,5.665897150E-3,6.512578544E-3,-3.366943717E-2,3.475841005E-2
6.655707625E0,9.411294591E-3,5.835822718E-3,-3.247192740E-2,3.430824044E-2
6.665670625E0,1.568215015E-2,7.305456419E-3,-2.932963371E-2,3.405182727E-2
6.675634625E0,9.746486228E-3,1.134260251E-2,-4.354947746E-2,4.604569049E-2
6.685598625E0,7.063939003E-3,1.837301596E-2,-3.441846550E-2,3.964968747E-2
6.695561625E0,5.061546299E-3,1.303473190E-2,-3.591593742E-2,3.854189990E-2
6.705525625E0,5.920360666E-3,1.124793244E-2,-4.265368402E-2,4.450734114E-2
6.715489625E0,1.114291096E-2,1.518068289E-2,-3.442021966E-2,3.923479475E-2
6.725452625E0,6.930521987E-3,9.708401668E-3,-3.322329462E-2,3.529975217E-2
6.735416625E0,1.112922482E-2,1.102218880E-2,-3.232574701E-2,3.592077687E-2
6.745379625E0,7.805904988E-3,1.003369415E-2,-3.591886103E-2,3.810212263E-2
6.755343625E0,1.155742830E-2,1.199647654E-2,-4.220637202E-2,4.537474449E-2
6.765307625E0,8.604611806E-3,8.206950892E-3,-4.025983393E-2,4.197913310E-2
6.775270625E0,5.654266672E-3,1.570257429E-2,-2.798594356E-2,3.258457623E-2
6.785234625E0,1.078321584E-2,9.924378628E-3,-3.801625729E-2,4.074318167E-2
6.795198625E0,9.188410607E-3,8.302918319E-3,-3.098147213E-2,3.336490608E-2
6.805161625E0,1.378030215E-2,1.473482813E-2,-3.666905880E-2,4.185250005E-2
6.815125625E0,1.067621636E-2,7.001519976E-3,-3.367528439E-2,3.601427017E-2
6.825088625E0,1.372342427E-2,1.236987608E-2,-4.190699458E-2,4.579893452E-2
6.835052625E0,1.443014251E-2,6.974124857E-3,-4.235547602E-2,4.528635313E-2
6.845016625E0,1.330396878E-2,1.449488215E-2,-2.439341426E-2,3.133904678E-2
6.854979625E0,1.308484894E-2,1.353074938E-2,-3.247543573E-2,3.753596111E-2
6.864943625E0,1.675643442E-2,1.600437285E-2,-3.187551141E-2,3.940769306E-2
6.874907625E0,1.392927367E-2,1.765277146E-2,-3.427053094E-2,4.098919731E-2
6.884870625E0,1.736963832E-2,7.946731523E-3,-3.472018182E-2,3.962759017E-2
6.894834625E0,6.620048541E-3,1.264853245E-3,-2.933255732E-2,3.009690707E-2
6.904798625E0,1.333123599E-2,1.070116295E-2,-4.684496820E-2,4.986670018E-2
6.914761625E0,1.585972735E-2,1.575648745E-2,-3.486987054E-2,4.142107821E-2
6.924725625E0,1.173052873E-2,6.674857051E-3,-2.993014276E-2,3.283249102E-2
6.934688625E0,1.071314975E-2,4.927101452E-3,-3.726372063E-2,3.908494316E-2
6.944652625E0,6.259691035E-3,1.717096089E-2,-3.920908928E-2,4.325943032E-2
6.954616625E0,5.756743695E-3,1.365757914E-2,-2.798243523E-2,3.166522141E-2
6.964579625E0,1.549984036E-2,8.787748427E-3,-3.711403191E-2,4.116941751E-2
6.974543625E0,1.551697545E-2,1.631304188E-2,-3.292391717E-2,3.988578926E-2
6.984507625E0,1.667089605E-2,1.295600463E-2,-3.157554924E-2,3.798410379E-2
6.994470625E0,1.097512785E-2,1.708666963E-2,-4.295247674E-2,4.751129306E-2
7.004434625E0,4.349021958E-3,1.681842861E-2,-2.918169916E-2,3.396093489E-2
7.014397625E0,1.224033741E-2,1.145099527E-2,-3.217605829E-2,3.628015821E-2
7.024361625E0,1.372729348E-2,3.382627959E-3,-4.370325923E-2,4.593316477E-2
7.034325625E0,1.690338682E-2,1.487662768E-2,-3.262629390E-2,3.964232070E-2
7.044288625E0,1.138961321E-2,1.500955590E-2,-3.517041743E-2,3.989947768E-2
7.054252625E0,-2.919861954E-4,1.983229369E-2,-5.283485591E-2,5.643515862E-2
7.064216625E0,9.738153946E-3,1.244817395E-2,-3.831505001E-2,4.144673369E-2
7.074179625E0,1.608666784E-2,8.459641971E-3,-3.711812496E-2,4.132918612E-2
7.084143625E0,1.577635885E-2,8.205968742E-3,-4.325477779E-2,4.676758731E-2
7.094107625E0,1.394053870E-2,1.274518053E-2,-3.786539912E-2,4.231508828E-2
7.104070625E0,9.872114570E-3,1.357533897E-2,-3.681874752E-2,4.046441206E-2
7.114034625E0,1.362277907E-2,1.455921980E-2,-4.085975826E-2,4.546505071E-2
7.123997625E0,9.076157771E-3,1.827619429E-2,-4.849505246E-2,5.261336361E-2
7.133961625E0,6.756923636E-3,7.681733882E-3,-3.741750240E-2,3.879090794E-2
7.143925625E0,1.191063210E-2,4.097555140E-3,-3.831563473E-2,4.033287716E-2
7.153888625E0,1.099017986E-2,9.894210650E-3,-3.038271725E-2,3.379036794E-2
7.163852625E0,1.484850165E-2,9.793999423E-3,-3.861618161E-2,4.251599591E-2
7.173816625E0,1.577897639E-2,1.089509408E-2,-2.364730954E-2,3.044461232E-2
7.183779625E0,8.672937434E-3,1.131780666E-2,-3.397524655E-2,3.684603058E-2
7.193743625E0,8.680876857E-3,6.187806828E-3,-3.352618039E-2,3.518026929E-2
7.203706625E0,9.845866053E-3,1.429467897E-2,-2.993365109E-2,3.460205764E-2
7.213670625E0,1.732200178E-2,9.457980953E-3,-2.245038450E-2,2.989188709E-2
7.223634625E0,8.077932992E-3,9.739615750E-3,-4.086268187E-2,4.277700183E-2
7.233597625E0,1.068603785E-2,1.767129069E-2,-4.250925779E-2,4.725995046E-2
7.243561625E0,1.539806684E-2,6.299050106E-3,-3.472544432E-2,3.850499938E-2
7.253525625E0,1.451867301E-2,7.332572881E-3,-3.846883178E-2,4.176612873E-2
7.263488625E0,4.244662863E-3,9.695610884E-3,-3.637260497E-2,3.788124107E-2
7.273452625E0,1.002835857E-2,1.450846779E-2,-3.517509520E-2,3.934909066E-2
7.283416625E0,1.235880291E-2,1.098364286E-2,-3.607264280E-2,3.968143116E-2
7.293379625E0,1.010282834E-2,2.249347117E-2,-3.397700071E-2,4.198166222E-2
7.303343625E0,5.338178985E-3,1.675858601E-2,-4.236015379E-2,4.586642551E-2
7.313306625E0,1.113409446E-2,2.276644478E-2,-3.053299069E-2,3.968050640E-2
7.323270625E0,1.488656794E-2,1.249351728E-2,-4.235781491E-2,4.660345870E-2
7.333234625E0,1.439779553E-2,1.815546756E-2,-4.250750363E-2,4.841286382E-2
7.343197625E0,1.029162032E-2,7.307146629E-3,-3.127968013E-2,3.373025689E-2
7.353161625E0,1.427413606E-2,9.605984031E-3,-2.888349116E-2,3.361966613E-2
7.363125625E0,1.264955571E-2,7.783630751E-3,-4.549952388E-2,4.786233217E-2
7.373088625E0,6.793491575E-3,7.571527571E-3,-4.325477779E-2,4.443484398E-2
7.383052625E0,1.031038166E-2,1.233170015E-2,-3.382497311E-2,3.745001474E-2
7.393015625E0,8.324690061E-3,1.577110092E-2,-3.711754024E-2,4.117936234E-2
7.402979625E0,1.302408358E-2,7.488949355E-3,-4.175730586E-2,4.437773888E-2
7.412943625E0,1.309520490E-2,6.793112420E-3,-3.442255855E-2,3.745054479E-2
7.422906625E0,9.663839489E-3,7.718959632E-3,-4.056155026E-2,4.240532385E-2
7.432870625E0,9.777924148E-3,1.835088333E-2,-3.757011473E-2,4.294038007E-2
7.442834625E0,1.412928042E-2,1.904566503E-2,-3.352910399E-2,4.106792832E-2
7.452797625E0,1.275191396E-2,9.094201913E-3,-3.083470702E-2,3.458460604E-2
7.462761625E0,5.959847644E-3,8.998878594E-3,-3.637377441E-2,3.794141622E-2
7.472725625E0,1.451812483E-2,-2.675169683E-3,-3.592470825E-2,3.883963368E-2
7.482688625E0,1.356958768E-2,7.095824601E-3,-3.293034911E-2,3.631655723E-2
7.492652625E0,2.470909995E-3,1.279777806E-2,-2.903844237E-2,3.182954060E-2
7.502615625E0,1.452731593E-2,1.141233969E-2,-4.221104980E-2,4.607664408E-2
7.512579625E0,1.279146032E-2,1.077777062E-2,-3.053416014E-2,3.481546685E-2
7.522543625E0,1.762961101E-2,1.679505802E-2,-3.831680417E-2,4.539883963E-2
7.532506625E0,8.101737555E-3,1.786222969E-2,-3.187901974E-2,3.742952445E-2
7.542470625E0,1.356379529E-2,1.416579811E-2,-2.499216914E-2,3.176877236E-2
7.552434625E0,9.896097290E-3,1.997409781E-2,-3.037920892E-2,3.768014941E-2
7.562394000E0,1.330239277E-2,1.308146395E-2,-3.995870233E-2,4.409961728E-2
7.572358000E0,7.738858438E-3,1.597625596E-2,-4.070714593E-2,4.440948563E-2
7.582321000E0,5.302150086E-3,1.411397716E-2,-3.741399407E-2,4.033762635E-2
7.592285000E0,2.177466564E-2,2.186109480E-2,-4.355240107E-2,5.337466785E-2
7.602249000E0,1.039682452E-2,5.386779397E-3,-3.262629390E-2,3.466390638E-2
7.612212000E0,1.170865648E-2,1.312233507E-2,-3.981193721E-2,4.352331167E-2
7.622176000E0,1.295017112E-2,8.791457755E-3,-4.175789058E-2,4.459504555E-2
7.632140000E0,1.521580730E-2,6.105753947E-3,-3.457283199E-2,3.826332101E-2
7.642103000E0,8.915606020E-3,1.457763853E-2,-4.115972042E-2,4.456588562E-2
7.652067000E0,1.620450751E-2,9.145387891E-3,-3.607030392E-2,4.058683294E-2
7.662031000E0,1.413790050E-2,7.165401899E-3,-3.547154903E-2,3.885169244E-2
7.671994000E0,1.030741693E-2,1.051522607E-2,-3.487279415E-2,3.785399048E-2
7.681958000E0,6.871300656E-3,2.285137558E-3,-2.948400021E-2,3.036021895E-2
7.691921000E0,8.708961764E-3,1.529036386E-2,-3.053123653E-2,3.523914934E-2
7.701885000E0,9.281637152E-3,9.945492558E-3,-3.472135127E-2,3.729120331E-2
7.711849000E0,1.639925177E-2,8.516359963E-3,-2.963076532E-2,3.492056842E-2
7.721812000E0,1.151122159E-2,8.477526228E-3,-3.142644525E-2,3.452532598E-2
7.731776000E0,8.566755652E-3,5.956065226E-3,-3.696434319E-2,3.840867979E-2
7.741740000E0,9.989511129E-3,8.295609299E-3,-1.900052726E-2,2.301363732E-2
7.751703000E0,1.742657558E-2,1.449218695E-2,-2.902733266E-2,3.682791143E-2
7.761667000E0,7.615007102E-3,7.268463643E-3,-4.040309072E-2,4.175198961E-2
7.771630000E0,1.644118727E-2,1.010482005E-2,-3.785838246E-2,4.249326005E-2
7.781594000E0,1.473289581E-2,6.857303884E-3,-3.531308949E-2,3.887280701E-2
7.791558000E0,1.480892331E-2,1.138790930E-2,-3.411557972E-2,3.889551989E-2
7.801521000E0,6.234493190E-3,1.506231789E-2,-3.665911853E-2,4.012023551E-2
7.811485000E0,1.048836085E-2,5.771754594E-3,-4.040075183E-2,4.213715240E-2
7.821449000E0,2.045143617E-2,1.079144762E-2,-4.189763904E-2,4.785528957E-2
7.831412000E0,1.744924725E-2,9.712261744E-3,-3.246666491E-2,3.811677568E-2
7.841376000E0,8.117059087E-3,3.260964761E-3,-3.411265612E-2,3.521638605E-2
7.851340000E0,9.307067972E-3,9.639354274E-3,-2.947289050E-2,3.237576160E-2
7.861303000E0,8.753391467E-3,1.763345738E-2,-3.186907947E-2,3.745929668E-2
7.871267000E0,9.079519920E-3,7.102996577E-3,-3.231989980E-2,3.431422686E-2
7.881230000E0,1.310809619E-2,8.767776531E-3,-3.396647573E-2,3.744886599E-2
7.891194000E0,1.259973560E-2,7.518811268E-3,-3.980433583E-2,4.242252952E-2
7.901158000E0,1.409626650E-2,1.202636129E-2,-4.309748769E-2,4.691195519E-2
7.911121000E0,9.165624739E-3,1.243873161E-2,-2.543480337E-2,2.976003937E-2
7.921085000E0,1.584871814E-2,9.478318300E-3,-3.262044668E-2,3.748484929E-2
7.931049000E0,7.576237321E-3,4.950070046E-3,-3.366943717E-2,3.486450293E-2
7.941012000E0,1.772808177E-2,1.388257817E-2,-3.546570182E-2,4.200984248E-2
7.950976000E0,1.345882863E-2,1.897273472E-2,-3.501605093E-2,4.203841759E-2
7.960939000E0,9.807630745E-3,1.386197587E-2,-3.097387075E-2,3.532314631E-2
7.970903000E0,1.743438710E-2,1.139766684E-2,-3.112297475E-2,3.745002297E-2
7.980867000E0,1.494292505E-2,1.108669090E-2,-3.905706167E-2,4.326268358E-2
7.990830000E0,5.308906361E-3,1.797201117E-2,-3.621122181E-2,4.077291083E-2
8.000794000E0,5.063140579E-3,1.023668390E-2,-2.977577627E-2,3.189078146E-2
8.010758000E0,9.489692962E-3,4.069584436E-3,-3.172056019E-2,3.335880287E-2
8.020721000E0,3.563585579E-3,2.681190488E-3,-4.324600697E-2,4.347533833E-2
8.030685000E0,1.024435380E-2,-2.456661975E-3,-5.162799060E-2,5.269185313E-2
8.040648000E0,8.812174257E-3,1.311112943E-2,-3.276721179E-2,3.637645253E-2
8.050612000E0,1.018498629E-2,1.572677172E-2,-3.351507068E-2,3.839694333E-2
8.060576000E0,1.296897357E-2,7.345724548E-3,-4.174853504E-2,4.432938216E-2
8.070539000E0,7.081951168E-3,1.598681293E-2,-2.767779529E-2,3.273824327E-2
8.080503000E0,8.640489955E-3,1.406130197E-2,-3.366592884E-2,3.749364006E-2
8.090467000E0,1.807590888E-2,2.694442654E-3,-3.860682607E-2,4.271399679E-2
8.100430000E0,1.612702733E-2,1.430385636E-2,-2.049449086E-2,2.974399894E-2
8.110394000E0,1.773214742E-2,1.484448626E-2,-3.561188221E-2,4.246167659E-2
8.120358000E0,1.308570318E-2,3.532572496E-3,-2.737841785E-2,3.054983568E-2
8.130321000E0,1.244057257E-2,1.212300480E-2,-3.905413806E-2,4.274296189E-2
8.140285000E0,1.511323891E-2,1.320783233E-2,-3.695849597E-2,4.205695246E-2
8.150248000E0,1.354558669E-2,8.175713969E-3,-3.261635363E-2,3.625123090E-2
8.160212000E0,-6.082429038E-4,4.682294978E-3,-3.111771226E-2,3.147389175E-2
8.170176000E0,4.919545753E-3,-2.520300695E-3,-4.249288559E-2,4.285089464E-2
8.180139000E0,1.242058697E-2,9.321192652E-3,-2.857183456E-2,3.251930724E-2
8.190103000E0,4.993161284E-3,1.035138069E-2,-4.204323471E-2,4.358573535E-2
8.200067000E0,4.373758421E-3,6.029274194E-3,-3.515696883E-2,3.593736729E-2
8.210030000E0,1.044130447E-2,3.773258510E-3,-2.931852400E-2,3.135018610E-2
8.219994000E0,1.412365705E-2,9.862156031E-3,-3.261050642E-2,3.688068517E-2
8.229958000E0,1.011538158E-2,7.265841532E-3,-3.919622540E-2,4.112733256E-2
8.239921000E0,1.453713285E-2,7.517070808E-3,-3.754964948E-2,4.096108838E-2
8.249885000E0,1.589357725E-2,1.136550715E-2,-3.919564068E-2,4.379587651E-2
8.259848000E0,1.206672535E-2,4.255863936E-3,-3.874715924E-2,4.080515394E-2
8.269812000E0,9.913437939E-3,6.828277940E-3,-3.201058209E-2,3.419910813E-2
8.279776000E0,1.364271442E-2,5.338590117E-3,-3.126213849E-2,3.452456378E-2
8.289739000E0,9.707922013E-3,1.074273300E-2,-2.841980696E-2,3.189569704E-2
8.299703000E0,1.495270086E-2,9.231447028E-3,-2.737374008E-2,3.252882603E-2
8.309667000E0,1.458058041E-2,8.936336227E-3,-3.186498642E-2,3.616391557E-2
8.319630000E0,7.360406541E-3,1.251745432E-2,-2.243576646E-2,2.672500446E-2
8.329594000E0,3.788945493E-3,9.410860618E-3,-3.620712876E-2,3.760155022E-2
8.339557000E0,4.976501288E-3,6.147429063E-3,-4.788167953E-2,4.853052322E-2
8.349521000E0,1.199873320E-2,9.823546135E-3,-3.126564682E-2,3.490003335E-2
8.359485000E0,1.237193174E-2,5.386957554E-3,-3.815132797E-2,4.046736750E-2
8.369448000E0,1.395963351E-2,1.065423905E-2,-3.919856429E-2,4.295243439E-2
8.379412000E0,2.384496370E-2,1.297902804E-2,-2.108622909E-2,3.437537665E-2
8.389376000E0,1.939950837E-2,2.267768587E-2,-2.931852400E-2,4.183532253E-2
8.399339000E0,1.357077083E-2,2.056067860E-2,-2.872035384E-2,3.783868457E-2
8.409303000E0,1.652165500E-2,7.551797787E-3,5.166131973E-2,5.476209173E-2
8.419266000E0,1.714847195E-2,2.114003261E-2,1.369833058E-1,1.396617240E-1
8.429230000E0,4.516901001E-3,3.392472295E-3,-9.560197592E-3,1.110444240E-2
8.439194000E0,-3.188023029E-2,1.957225705E-2,4.941774309E-2,6.198012311E-2
8.449157000E0,1.059116678E-2,3.802419214E-2,2.253025746E-1,2.287340424E-1
8.459121000E0,7.933104769E-2,-4.209529320E-3,-1.260150987E-1,1.489662390E-1
8.469085000E0,3.755040322E-2,-4.926294262E-2,-1.434789777E-2,6.358248554E-2
8.479048000E0,-5.428555012E-3,-2.641385567E-2,1.266577077E-1,1.294964706E-1
8.489012000E0,8.265943816E-3,3.913371045E-2,-5.641276717E-2,6.915326037E-2
8.498976000E0,6.934446017E-3,6.800849017E-2,6.019357681E-2,9.108516875E-2
8.508939000E0,-1.663358350E-2,1.201395423E-2,3.311862946E-3,2.078411972E-2
8.518903000E0,-1.310685365E-3,-6.183882798E-2,-1.656861180E-1,1.768548790E-1
8.528866000E0,-3.475397690E-3,-3.928465541E-2,1.591384059E-1,1.639524162E-1
8.538830000E0,8.913733084E-3,6.038237792E-2,-5.218639970E-3,6.125945155E-2
8.548794000E0,4.142633518E-3,8.261056823E-2,-9.847412825E-2,1.286033488E-1
8.558756625E0,-1.353323445E-2,9.666996072E-3,1.447700429E-1,1.457222171E-1
8.568720625E0,6.216302868E-3,-4.573566003E-2,-5.940537214E-2,7.522892568E-2
8.578684625E0,3.822792649E-2,-2.172692404E-2,-1.092523009E-1,1.177688364E-1
8.588647625E0,4.159834382E-2,1.423840865E-2,1.534496498E-1,1.596244014E-1
8.598611625E0,2.249697036E-2,7.172073207E-2,5.480419815E-2,9.302406795E-2
8.608575625E0,1.545515028E-3,5.904700178E-2,-1.308104002E-1,1.435280385E-1
8.618538625E0,1.783105216E-2,-2.212118169E-2,5.106958151E-3,2.886821993E-2
8.628502625E0,3.483632214E-2,-6.602178901E-2,3.684213638E-2,8.324535410E-2
8.638465625E0,2.285114718E-2,-3.372061858E-3,2.247260392E-2,3.222675372E-2
8.648429625E0,-1.908202740E-2,6.388128782E-2,-1.240428329E-2,6.781451870E-2
8.658393625E0,-1.994884057E-2,3.991825604E-2,-4.683327377E-2,6.468986735E-2
8.668356625E0,4.273985736E-3,-1.306659923E-2,4.806879044E-2,4.999611568E-2
8.678320625E0,3.809317558E-2,-2.478715571E-2,1.214408219E-2,4.704223471E-2
8.688284625E0,2.047482960E-2,-1.390543713E-2,-6.479533553E-2,6.936148308E-2
8.698247625E0,-1.716002477E-2,8.252805853E-3,2.890921891E-2,3.461673284E-2
8.708211625E0,-2.460305978E-2,3.871151864E-2,5.645135880E-2,7.273684167E-2
8.718174625E0,7.103987862E-3,4.734669585E-2,-6.479533553E-2,8.056433304E-2
8.728138625E0,3.557311700E-2,-9.959804532E-3,-1.420054793E-2,3.957650718E-2
8.738102625E0,2.068180276E-2,-3.067885588E-2,1.071964198E-1,1.134019470E-1
8.748065625E0,1.624138608E-2,9.183326270E-3,-6.883810043E-2,7.132180715E-2
8.758029625E0,3.971168487E-3,4.871927490E-2,-5.057607651E-2,7.033688535E-2
8.767993625E0,9.623831743E-3,4.187497651E-2,1.164771205E-1,1.241493109E-1
8.777956625E0,2.288884801E-2,5.522274915E-3,-5.940654159E-2,6.390252003E-2
8.787920625E0,1.734816807E-2,-2.518739762E-2,-5.102397323E-2,5.948789607E-2
8.797883625E0,9.708228079E-3,-1.379526280E-2,1.143814784E-1,1.156186904E-1
8.807847625E0,9.799750708E-4,3.207205094E-2,-9.982015729E-2,1.048505632E-1
8.817811625E0,3.730340861E-4,4.481254913E-2,-1.644412458E-2,4.773586646E-2
8.827774625E0,1.175998407E-2,-3.801649483E-3,1.121384865E-1,1.128175072E-1
8.837738625E0,1.425105326E-2,-2.118485517E-2,-9.967046857E-2,1.028887405E-1
8.847702625E0,5.695571769E-3,-1.013909478E-2,1.813455462E-2,2.154304649E-2
8.857665625E0,-2.725624759E-4,9.740022314E-3,2.307486713E-2,2.504779068E-2
8.867629625E0,1.314074923E-3,2.778521047E-2,-1.344801128E-2,3.089650014E-2
8.877593625E0,-3.959295899E-4,2.273076306E-2,-2.347774029E-2,3.268101342E-2
8.887556625E0,3.147161955E-2,8.857334862E-3,1.259665668E-2,3.503699442E-2
8.897520625E0,4.384675356E-2,-2.220804482E-3,-1.120443463E-2,4.531014374E-2
8.907483625E0,3.044746603E-2,3.516122634E-3,5.585494280E-2,6.371174100E-2
8.917447625E0,-2.201933507E-3,3.290700136E-2,5.420778215E-2,6.345236714E-2
8.927411625E0,-8.410867970E-3,3.617064305E-2,-8.934370100E-2,9.675409567E-2
8.937374625E0,1.599538276E-2,-1.649925743E-2,-1.973844588E-2,3.029329977E-2
8.947338625E0,2.507323074E-2,-3.302469942E-2,7.711015642E-2,8.755154992E-2
8.957302625E0,2.772165398E-2,1.339455494E-3,-5.865868270E-2,6.489318375E-2
8.967265625E0,-4.779651118E-3,4.347675271E-2,-1.943965316E-2,4.786411188E-2
8.977229625E0,-1.794561190E-2,4.156174391E-2,4.043466568E-2,6.069914111E-2
8.987193625E0,6.446372531E-3,9.610465374E-3,1.229435563E-2,1.688395522E-2
8.997156625E0,2.941440920E-2,-1.023165438E-2,-3.934825301E-2,5.018146306E-2
9.007120625E0,8.051725589E-3,-1.243807836E-2,5.061408341E-2,5.273823582E-2
9.017083625E0,4.414798566E-3,3.046474729E-2,-3.800339341E-2,4.890653519E-2
9.027047625E0,4.430106394E-3,3.917992629E-2,-5.521525741E-3,3.981431543E-2
9.037011625E0,5.710290307E-3,1.564316567E-2,2.202119887E-2,2.760886175E-2
9.046974625E0,1.776299605E-2,-1.988872389E-2,-2.273572862E-2,3.504281271E-2
9.056938625E0,9.173180438E-3,-1.460855568E-2,2.336956680E-2,2.904640753E-2
9.066902625E0,2.218761611E-2,2.709173069E-2,-5.312253892E-2,6.362590921E-2
