"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-9.314492345E-2,-2.058733106E-1,-4.654344171E-2,2.307077995E-1
9.961999953E-3,-8.255273104E-2,-1.771822572E-1,-4.150021076E-2,1.998268579E-1
1.992499991E-2,-7.201573998E-2,-1.547332704E-1,-3.152985871E-2,1.735591650E-1
2.988699998E-2,-6.581749767E-2,-1.107096151E-1,-2.935378999E-2,1.320992311E-1
3.984999994E-2,-6.763033569E-2,-8.089699596E-2,-2.399285324E-2,1.081380750E-1
4.981200001E-2,-6.463454664E-2,-4.810442775E-2,-2.337579802E-2,8.389331631E-2
5.977499997E-2,-5.936609581E-2,-2.658817731E-2,-2.288920805E-2,6.895781572E-2
6.973699993E-2,-5.763876811E-2,3.343355609E-3,-2.321145125E-2,6.222681966E-2
7.970000000E-2,-5.951569974E-2,3.898328915E-2,-2.181379683E-2,7.441543577E-2
8.966199995E-2,-5.394623429E-2,6.435282528E-2,-1.978233829E-2,8.627179854E-2
9.962499992E-2,-5.114799738E-2,8.849525452E-2,-2.106886171E-2,1.043619885E-1
1.095870000E-1,-4.538571835E-2,1.182749867E-1,-2.303773537E-2,1.287616914E-1
1.195499999E-1,-4.411496222E-2,1.463358104E-1,-2.149840258E-2,1.543453291E-1
1.295120000E-1,-4.595227540E-2,1.763794720E-1,-1.754041202E-2,1.831092456E-1
1.394750000E-1,-4.413142800E-2,1.872144043E-1,-1.906871237E-2,1.932884682E-1
1.494369999E-1,-3.688869625E-2,2.064070106E-1,-2.104131505E-2,2.107305551E-1
1.594000000E-1,-3.637510911E-2,2.112473845E-1,-1.791382022E-2,2.151034890E-1
1.693620000E-1,-3.640333936E-2,2.197109163E-1,-1.953994669E-2,2.235618468E-1
1.793249999E-1,-3.191787004E-2,2.222513109E-1,-2.055833675E-2,2.254707095E-1
1.892870000E-1,-2.715853415E-2,2.194712460E-1,-2.144037560E-2,2.221821404E-1
1.992499999E-1,-1.815775037E-2,2.134225368E-1,-2.056090161E-2,2.151781444E-1
2.092120000E-1,-1.323676016E-2,2.146169692E-1,-1.964424178E-2,2.159202435E-1
2.191750000E-1,-3.807860427E-3,2.083974928E-1,-1.895878650E-2,2.092927385E-1
2.291369999E-1,6.076195743E-3,2.021249533E-1,-2.074337192E-2,2.032774074E-1
2.391000000E-1,1.461252384E-2,1.986657083E-1,-1.811096631E-2,2.000239901E-1
